id,x,y,w,h
abismo_negro,0,0,2560,2400
abyss,160,0,2560,2400
ace_angel,0,160,2560,2400
aerostar,160,160,2560,2400
aguila_solitaria,320,0,2560,2400
aldo_montoya,320,160,2560,2400
alushe,0,320,2560,2400
angel_azteca,160,320,2560,2400
angel_blanco_jr,320,320,2560,2400
angel_blanco_sr,480,0,2560,2400
anibal,480,160,2560,2400
antifaz_del_norte,480,320,2560,2400
arachnaman,0,480,2560,2400
argenis,160,480,2560,2400
arkangel_de_la_muerte,320,480,2560,2400
arturito,480,480,2560,2400
astro_de_oro,640,0,2560,2400
asuka,640,160,2560,2400
asuka_1_,640,320,2560,2400
atlantis_jr,640,480,2560,2400
atlantis_sr,0,640,2560,2400
aullido,160,640,2560,2400
australian_suicide,320,640,2560,2400
avatar,480,640,2560,2400
averno,640,640,2560,2400
bandido,800,0,2560,2400
battle_kat,800,160,2560,2400
battman,800,320,2560,2400
black_shadow,800,480,2560,2400
black_tiger_i,800,640,2560,2400
black_tiger_ii,0,800,2560,2400
black_tiger_iv,160,800,2560,2400
blackman,320,800,2560,2400
blue_blazer,480,800,2560,2400
blue_demon_jr,640,800,2560,2400
blue_demon_sr,800,800,2560,2400
blue_panther_sr,960,0,2560,2400
bobby_lee,960,160,2560,2400
bullet_bob_armstrong,960,320,2560,2400
calgary_kid,960,480,2560,2400
captain_usa,960,640,2560,2400
chainsaw_charlie,960,800,2560,2400
cibernetico,0,960,2560,2400
ciclon_mackey,160,960,2560,2400
ciclope,320,960,2560,2400
cinta_de_oro,480,960,2560,2400
cm_punk,640,960,2560,2400
cuije,800,960,2560,2400
curry_man,960,960,2560,2400
darth_vader,1120,0,2560,2400
delirious,1120,160,2560,2400
doink_i,1120,320,2560,2400
dos_caras_jr,1120,480,2560,2400
dos_caras_sr,1120,640,2560,2400
dr_wagner_jr,1120,800,2560,2400
dr_wagner_sr,1120,960,2560,2400
drago,0,1120,2560,2400
dragon_lee_i,160,1120,2560,2400
dragon_lee_ii,320,1120,2560,2400
ebessan,480,1120,2560,2400
el_alebrije,640,1120,2560,2400
el_canek,800,1120,2560,2400
el_cobarde_i,960,1120,2560,2400
el_cobarde_ii,1120,1120,2560,2400
el_dragon_azteca_jr,1280,0,2560,2400
el_espectro_de_ultratumba,1280,160,2560,2400
el_fantasma,1280,320,2560,2400
el_felino,1280,480,2560,2400
el_generico,1280,640,2560,2400
el_gladiador,1280,800,2560,2400
el_hijo_del_anibal,1280,960,2560,2400
el_hijo_del_fantasma,1280,1120,2560,2400
el_hijo_del_santo,0,1280,2560,2400
el_ligero,160,1280,2560,2400
el_oriental,320,1280,2560,2400
el_psicodelico_sr,480,1280,2560,2400
el_rayo_de_jalisco_sr,640,1280,2560,2400
el_santo,800,1280,2560,2400
el_solar,960,1280,2560,2400
el_solitario,1120,1280,2560,2400
electroshock,1280,1280,2560,2400
espectrito,1440,0,2560,2400
estrella_blanca,1440,160,2560,2400
estrella_divina,1440,320,2560,2400
faby_apache,1440,480,2560,2400
fenix,1440,640,2560,2400
fishman,1440,800,2560,2400
fray_tormenta,1440,960,2560,2400
fuerza_guerrera,1440,1120,2560,2400
giant_machine,1440,1280,2560,2400
gobbledy_gooker,0,1440,2560,2400
gran_markus,160,1440,2560,2400
gran_naniwa,320,1440,2560,2400
great_kabuki,480,1440,2560,2400
great_muta,640,1440,2560,2400
great_sasuke,800,1440,2560,2400
gronda,960,1440,2560,2400
hayabusa,1120,1440,2560,2400
histeria,1280,1440,2560,2400
huracan_ramirez,1440,1440,2560,2400
hurricane_helms,1600,0,2560,2400
io_shirai,1600,160,2560,2400
juan_cena,1600,320,2560,2400
jushin_thunder_liger,1600,480,2560,2400
kairi_sane,1600,640,2560,2400
kane,1600,800,2560,2400
karis_la_momia,1600,960,2560,2400
kendo_nagasaki,1600,1120,2560,2400
killer_clown,1600,1280,2560,2400
kobra_moon,1600,1440,2560,2400
kung_fu,0,1600,2560,2400
l_ange_blanc,160,1600,2560,2400
la_amapola,320,1600,2560,2400
la_dama_del_silencio,480,1600,2560,2400
la_diabolica,640,1600,2560,2400
la_luchadora,800,1600,2560,2400
la_novia_del_santo,960,1600,2560,2400
la_parka_i,1120,1600,2560,2400
la_parka_ii,1280,1600,2560,2400
la_parka_negra,1440,1600,2560,2400
la_parkita,1600,1600,2560,2400
la_sombra,1760,0,2560,2400
le_bourreau_de_bethune,1760,160,2560,2400
leatherface,1760,320,2560,2400
lizmark_sr,1760,480,2560,2400
lluvia,1760,640,2560,2400
los_brazos_brazo_cibernetico,1760,800,2560,2400
los_brazos_brazo_de_oro,1760,960,2560,2400
los_brazos_brazo_de_plata,1760,1120,2560,2400
los_brazos_brazo_de_platino,1760,1280,2560,2400
los_brazos_el_brazo,1760,1440,2560,2400
los_brazos_super_brazo,1760,1600,2560,2400
los_ice_creams_el_hijo_del_ice_cream,0,1760,2560,2400
los_ice_creams_ice_cream_jr,160,1760,2560,2400
los_metallicos_oro,320,1760,2560,2400
los_villanos_villano_i,480,1760,2560,2400
los_villanos_villano_ii,640,1760,2560,2400
los_villanos_villano_iii,800,1760,2560,2400
los_villanos_villano_iv,960,1760,2560,2400
los_villanos_villano_v,1120,1760,2560,2400
mankind,1280,1760,2560,2400
mano_negra,1440,1760,2560,2400
mariposa,1600,1760,2560,2400
marty_scurll,1760,1760,2560,2400
mascara_ano_2000,1920,0,2560,2400
mascara_sagrada,1920,160,2560,2400
mascarita_sagrada,1920,320,2560,2400
masked_destroyer,1920,480,2560,2400
masked_marvel,1920,640,2560,2400
matanza_cueto,1920,800,2560,2400
matt_classic,1920,960,2560,2400
max_moon,1920,1120,2560,2400
menso_re_oyaji,1920,1280,2560,2400
mephisto,1920,1440,2560,2400
midnight_rider,1920,1600,2560,2400
mil_mascaras,1920,1760,2560,2400
mil_muertes,0,1920,2560,2400
misterioso_sr,160,1920,2560,2400
mr_america,320,1920,2560,2400
mr_azerbaidjan,480,1920,2560,2400
mr_niebla,640,1920,2560,2400
mr_wrestling,800,1920,2560,2400
murcielago_velasquez,960,1920,2560,2400
nieto_del_santo,1120,1920,2560,2400
octagon_sr,1280,1920,2560,2400
osirian_portal_amasis,1440,1920,2560,2400
osirian_portal_ophidian,1600,1920,2560,2400
pegasus_kid_i,1760,1920,2560,2400
pegasus_kid_ii,1920,1920,2560,2400
pentagon_dark,2080,0,2560,2400
phantom,2080,160,2560,2400
pierroth,2080,320,2560,2400
pirata_morgan,2080,480,2560,2400
prince_puma,2080,640,2560,2400
princesa_sugehit,2080,800,2560,2400
psicosis_i,2080,960,2560,2400
psicosis_ii,2080,1120,2560,2400
psycho_clown,2080,1280,2560,2400
red_river_jack,2080,1440,2560,2400
reina_jubuki,2080,1600,2560,2400
rellik,2080,1760,2560,2400
rey_mysterio_jr,2080,1920,2560,2400
rey_mysterio_sr,0,2080,2560,2400
senza_volto,160,2080,2560,2400
sexy_star,320,2080,2560,2400
shark_boy,480,2080,2560,2400
shockmaster,640,2080,2560,2400
silver_king,800,2080,2560,2400
sin_cara_azul,960,2080,2560,2400
sin_cara_negro,1120,2080,2560,2400
skayde,1280,2080,2560,2400
spider_lady,1440,2080,2560,2400
suicide,1600,2080,2560,2400
super_amigos_super_barrio,1760,2080,2560,2400
super_delfin,1920,2080,2560,2400
super_dragon,2080,2080,2560,2400
super_liger,2240,0,2560,2400
super_muneco,2240,160,2560,2400
super_parka,2240,320,2560,2400
sweet_ebony_diamond,2240,480,2560,2400
the_american_dragon,2240,640,2560,2400
the_destroyer,2240,800,2560,2400
the_fiend,2240,960,2560,2400
the_masked_canadian,2240,1120,2560,2400
the_masked_wrestler,2240,1280,2560,2400
the_punisher,2240,1440,2560,2400
the_spider,2240,1600,2560,2400
the_spoiler,2240,1760,2560,2400
the_student,2240,1920,2560,2400
tiger_mask_i,2240,2080,2560,2400
tiger_mask_iv,0,2240,2560,2400
tiger_mask_w,160,2240,2560,2400
tinieblas_sr,320,2240,2560,2400
ultimo_dragon,480,2240,2560,2400
ultimo_guerrero,640,2240,2560,2400
ultramantis_black,800,2240,2560,2400
vader,960,2240,2560,2400
volador_jr,1120,2240,2560,2400
who,1280,2240,2560,2400
willow,1440,2240,2560,2400
yellow_dog_i,1600,2240,2560,2400
yellow_dog_ii,1760,2240,2560,2400
z_gwen,1920,2240,2560,2400
z_jan,2080,2240,2560,2400
z_russell,2240,2240,2560,2400
z_sonia,2400,0,2560,2400
zombie_clown,2400,160,2560,2400